Child_ID,Child_Name,Parent_ID,Parent_Name,Group_ID,Group_Name
623,Art & Photography,320,English Books,8322,Nhà Sách Tiki
27,Biographies & Memoirs,320,English Books,8322,Nhà Sách Tiki
4,Business & Economics,320,English Books,8322,Nhà Sách Tiki
614,How-to - Self Help,320,English Books,8322,Nhà Sách Tiki
7,Children's Books,320,English Books,8322,Nhà Sách Tiki
282,Dictionary,320,English Books,8322,Nhà Sách Tiki
5308,Education - Teaching,320,English Books,8322,Nhà Sách Tiki
9,Fiction - Literature,320,English Books,8322,Nhà Sách Tiki
6445,Magazines,320,English Books,8322,Nhà Sách Tiki
218,Medical Books,320,English Books,8322,Nhà Sách Tiki
28,Parenting & Relationships,320,English Books,8322,Nhà Sách Tiki
5309,Reference,320,English Books,8322,Nhà Sách Tiki
269,Science - Technology,320,English Books,8322,Nhà Sách Tiki
632,"History, Politics & Social Sciences",320,English Books,8322,Nhà Sách Tiki
32,Travel & Holiday,320,English Books,8322,Nhà Sách Tiki
21,"Cookbooks, Food & Wine",320,English Books,8322,Nhà Sách Tiki
839,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
846,Sách kinh tế,316,Sách tiếng Việt,8322,Nhà Sách Tiki
393,Sách thiếu nhi ,316,Sách tiếng Việt,8322,Nhà Sách Tiki
870,Sách kỹ năng sống,316,Sách tiếng Việt,8322,Nhà Sách Tiki
2527,Sách Bà mẹ - Em bé,316,Sách tiếng Việt,8322,Nhà Sách Tiki
2321,Sách Giáo Khoa - Giáo Trình,316,Sách tiếng Việt,8322,Nhà Sách Tiki
887,Sách Học Ngoại Ngữ,316,Sách tiếng Việt,8322,Nhà Sách Tiki
2320,Sách Tham Khảo,316,Sách tiếng Việt,8322,Nhà Sách Tiki
897,Từ Điển,316,Sách tiếng Việt,8322,Nhà Sách Tiki
873,Sách Kiến Thức Tổng Hợp,316,Sách tiếng Việt,8322,Nhà Sách Tiki
879,Sách Khoa Học - Kỹ Thuật,316,Sách tiếng Việt,8322,Nhà Sách Tiki
880,Sách Lịch sử,316,Sách tiếng Việt,8322,Nhà Sách Tiki
881,Điện Ảnh - Nhạc - Họa,316,Sách tiếng Việt,8322,Nhà Sách Tiki
1084,"Truyện Tranh, Manga, Comic",316,Sách tiếng Việt,8322,Nhà Sách Tiki
861,Sách Tôn Giáo - Tâm Linh,316,Sách tiếng Việt,8322,Nhà Sách Tiki
857,Sách Văn Hóa - Địa Lý - Du Lịch,316,Sách tiếng Việt,8322,Nhà Sách Tiki
875,Sách Chính Trị - Pháp Lý,316,Sách tiếng Việt,8322,Nhà Sách Tiki
882,Sách Nông - Lâm - Ngư Nghiệp,316,Sách tiếng Việt,8322,Nhà Sách Tiki
876,Sách Công Nghệ Thông Tin,316,Sách tiếng Việt,8322,Nhà Sách Tiki
885,Sách Y Học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
1468,Tạp Chí - Catalogue,316,Sách tiếng Việt,8322,Nhà Sách Tiki
868,Sách Tâm lý - Giới tính,316,Sách tiếng Việt,8322,Nhà Sách Tiki
862,Sách Thường Thức - Gia Đình,316,Sách tiếng Việt,8322,Nhà Sách Tiki
6905,Thể Dục - Thể Thao,316,Sách tiếng Việt,8322,Nhà Sách Tiki
54978,1980Books,316,Sách tiếng Việt,8322,Nhà Sách Tiki
1862,Dụng Cụ Văn Phòng,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
1858,Bút - Viết các loại,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
2538,Bút Chì Màu - Bút Lông Màu - Sáp Màu,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
2365,Dụng Cụ Học Sinh,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
1910,Flashcards,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
1899,Sổ Tay Các Loại,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
1907,Tập vở các loại ,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
2333,Văn Hóa Phẩm,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
6210,Thiết Bị Giáo Dục Trường Học,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
5674,Balo Học Sinh - Cặp học sinh,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
2452,Máy Tính Điện Tử,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
3892,Lịch,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
16458,Bút Kỹ Thuật,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
2368,Sản phẩm về giấy,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
18398,Thiết bị văn phòng,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
4624,Thú Nhồi Bông,18328,Quà lưu niệm,8322,Nhà Sách Tiki
6225,Bookmark,18328,Quà lưu niệm,8322,Nhà Sách Tiki
6541,Thiệp - Bưu ảnh,18328,Quà lưu niệm,8322,Nhà Sách Tiki
18330,Quà tặng trang sức,18328,Quà lưu niệm,8322,Nhà Sách Tiki
8264,Album - Khung Hình,18328,Quà lưu niệm,8322,Nhà Sách Tiki
18332,Mô hình trang trí,18328,Quà lưu niệm,8322,Nhà Sách Tiki
18334,Sticker - Decal trang trí,18328,Quà lưu niệm,8322,Nhà Sách Tiki
6246,Ly - Cốc,18328,Quà lưu niệm,8322,Nhà Sách Tiki
6226,Kẹp Ảnh Gỗ,18328,Quà lưu niệm,8322,Nhà Sách Tiki
18346,Hộp quà - Túi quà,18328,Quà lưu niệm,8322,Nhà Sách Tiki
6215,Tượng,18328,Quà lưu niệm,8322,Nhà Sách Tiki
8265,Móc Khóa - Phụ Kiện Trang Trí,18328,Quà lưu niệm,8322,Nhà Sách Tiki
6212,Đồng Hồ Cát,18328,Quà lưu niệm,8322,Nhà Sách Tiki
6213,Quả Cầu Tuyết,18328,Quà lưu niệm,8322,Nhà Sách Tiki
6214,Hộp Nhạc,18328,Quà lưu niệm,8322,Nhà Sách Tiki
18342,Phụ kiện - Vật liệu trang trí,18328,Quà lưu niệm,8322,Nhà Sách Tiki
18344,Quà tặng trang trí khác,18328,Quà lưu niệm,8322,Nhà Sách Tiki
25706,Gương mini,18328,Quà lưu niệm,8322,Nhà Sách Tiki
1934,Ấm nước các loại,1951,Dụng cụ nhà bếp,1883,Nhà Cửa - Đời Sống
23128,Dụng cụ chứa đựng thực phẩm,1951,Dụng cụ nhà bếp,1883,Nhà Cửa - Đời Sống
8319,"Dao, kéo và phụ kiện",1951,Dụng cụ nhà bếp,1883,Nhà Cửa - Đời Sống
5433,Dụng cụ làm bánh,1951,Dụng cụ nhà bếp,1883,Nhà Cửa - Đời Sống
6305,Kệ nhà bếp,1951,Dụng cụ nhà bếp,1883,Nhà Cửa - Đời Sống
11808,Bếp và dụng cụ nướng,1951,Dụng cụ nhà bếp,1883,Nhà Cửa - Đời Sống
1986,Phụ kiện nhà bếp,1951,Dụng cụ nhà bếp,1883,Nhà Cửa - Đời Sống
53052,Nồi và chảo,1951,Dụng cụ nhà bếp,1883,Nhà Cửa - Đời Sống
6963,"Bình nước, bình giữ nhiệt & Phụ kiện",1954,Đồ dùng phòng ăn,1883,Nhà Cửa - Đời Sống
2014,"Bình lọc, lõi lọc, thiết bị lọc nước",1954,Đồ dùng phòng ăn,1883,Nhà Cửa - Đời Sống
3990,"Bình, ly uống trà và phụ kiện",1954,Đồ dùng phòng ăn,1883,Nhà Cửa - Đời Sống
23304,"Bình, ly uống cà phê và phụ kiện",1954,Đồ dùng phòng ăn,1883,Nhà Cửa - Đời Sống
3177,"Ly, cốc & phụ kiện ly",1954,Đồ dùng phòng ăn,1883,Nhà Cửa - Đời Sống
3179,"Đũa, muỗng, nĩa",1954,Đồ dùng phòng ăn,1883,Nhà Cửa - Đời Sống
23322,Dụng cụ pha chế,1954,Đồ dùng phòng ăn,1883,Nhà Cửa - Đời Sống
3180,Phụ kiện phòng ăn,1954,Đồ dùng phòng ăn,1883,Nhà Cửa - Đời Sống
3178,"Tô, chén, dĩa",1954,Đồ dùng phòng ăn,1883,Nhà Cửa - Đời Sống
23346,"Bộ ga, ra, drap",8313,Đồ dùng phòng ngủ,1883,Nhà Cửa - Đời Sống
23352,"Chăn, mền và phụ kiện",8313,Đồ dùng phòng ngủ,1883,Nhà Cửa - Đời Sống
6724,"Gối, ruột gối, vỏ gối",8313,Đồ dùng phòng ngủ,1883,Nhà Cửa - Đời Sống
6723,Nệm và phụ kiện,8313,Đồ dùng phòng ngủ,1883,Nhà Cửa - Đời Sống
8314,Phụ kiện phòng ngủ,8313,Đồ dùng phòng ngủ,1883,Nhà Cửa - Đời Sống
23570,Nội thất phòng khách,2150,Nội thất,1883,Nhà Cửa - Đời Sống
23598,Nội thất phòng ngủ,2150,Nội thất,1883,Nhà Cửa - Đời Sống
23636,Nội thất phòng ăn,2150,Nội thất,1883,Nhà Cửa - Đời Sống
23654,"Nội thất phòng học, làm việc",2150,Nội thất,1883,Nhà Cửa - Đời Sống
23662,Nội thất trẻ em,2150,Nội thất,1883,Nhà Cửa - Đời Sống
23678,Nội thất khác,2150,Nội thất,1883,Nhà Cửa - Đời Sống
